name,url,country,iata,value,label,id
Edelweiss Holdings,edelweiss-holdings-grn,us,E2 ,Edelweiss Holdings (E2/GRN),Edelweiss Holdings (E2/GRN),337
SEAir,seair-srq,ph,DG ,SEAir (DG/SRQ),SEAir (DG/SRQ),724
Air Creebec,air-creebec-crq,ca,YN ,Air Creebec (YN/CRQ),Air Creebec (YN/CRQ),204
Trans Travel Airlines,trans-travel-airlines-trq,nl,6N ,Trans Travel Airlines (6N/TRQ),Trans Travel Airlines (6N/TRQ),1045
Air Ontario,air-ontario-ont,ca,GX ,Air Ontario (GX/ONT),Air Ontario (GX/ONT),1190
Pacific Airways Corporation,pacific-airways-corporation-pfr,ph,GX ,Pacific Airways Corporation (GX/PFR),Pacific Airways Corporation (GX/PFR),605
Krylo Airlines,krylo-airlines-kri,ru,K9 ,Krylo Airlines (K9/KRI),Krylo Airlines (K9/KRI),446
Irtysh Avia,irtysh-avia-irt,kz,IT ,Irtysh Avia (IT/IRT),Irtysh Avia (IT/IRT),394
Air Inter,air-inter-itf,fr,IT ,Air Inter (IT/ITF),Air Inter (IT/ITF),1585
Airkenya Express,airkenya-express-xak,ke,P2 ,Airkenya Express (P2/XAK),Airkenya Express (P2/XAK),1243
Tiger Airways,tiger-airways-tgw,sg,TR ,Tiger Airways (TR/TGW),Tiger Airways (TR/TGW),765
Brendan Airways,brendan-airways-gwy,us,U5 ,Brendan Airways (U5/GWY),Brendan Airways (U5/GWY),342
LAN Airlines,lan-airlines-lan,cl,LA ,LAN Airlines (LA/LAN),LAN Airlines (LA/LAN),457
Central Mountain Air,central-mountain-air-glr,ca,9M ,Central Mountain Air (9M/GLR),Central Mountain Air (9M/GLR),949
Airlines of South Australia,airlines-of-south-australia-lrt,au,RT ,Airlines of South Australia (RT/LRT),Airlines of South Australia (RT/LRT),490
Alrosa-Avia,alrosa-avia-lro,ru,   ,Alrosa-Avia (/LRO),Alrosa-Avia (/LRO),1537
Kyrghyzstan Airlines,kyrghyzstan-airlines-kga,kg,R8 ,Kyrghyzstan Airlines (R8/KGA),Kyrghyzstan Airlines (R8/KGA),430
Sky Airline,sky-airline-sku,cl,H2 ,Sky Airline (H2/SKU),Sky Airline (H2/SKU),708
Turkuaz Airlines,turkuaz-airlines-trk,tr,   ,Turkuaz Airlines (/TRK),Turkuaz Airlines (/TRK),1388
Mokulele Airlines,mokulele-airlines-bug,us,MW ,Mokulele Airlines (MW/BUG),Mokulele Airlines (MW/BUG),1485
Orin Airways,orion-airways-orn,gb,KG ,Orin Airways (KG/ORN),Orin Airways (KG/ORN),1279
LAN Argentina,lan-argentina-dsm,ar,4M ,LAN Argentina (4M/DSM),LAN Argentina (4M/DSM),1419
Líneas Aéreas Nacionales de Navegación Dominicana,lneas-areas-nacionales-de-navegacin-dominicana-lnc,do,4M ,Líneas Aéreas Nacionales de Navegación Dominicana (4M/LNC),Líneas Aéreas Nacionales de Navegación Dominicana (4M/LNC),983
African Star Airways,african-star-airways-asg,za,4M ,African Star Airways (4M/ASG),African Star Airways (4M/ASG),888
LTS Sud,lts-sud-lts,de,LU ,LTS Sud (LU/LTS),LTS Sud (LU/LTS),1486
Lan Peru,lan-peru-lpe,pe,LP ,Lan Peru (LP/LPE),Lan Peru (LP/LPE),484
Lineas Aereas Privadas Argentinas,lineas-aereas-privadas-argentinas-lpr,ar,MJ ,Lineas Aereas Privadas Argentinas (MJ/LPR),Lineas Aereas Privadas Argentinas (MJ/LPR),486
Laoag International Airlines,laoag-international-airlines-lpn,ph,L7 ,Laoag International Airlines (L7/LPN),Laoag International Airlines (L7/LPN),485
Lugansk Airlines,lugansk-airlines-lhs,ua,L7 ,Lugansk Airlines (L7/LHS),Lugansk Airlines (L7/LHS),1543
Harlequin Air,harlequin-air-hlq,jp,JH ,Harlequin Air (JH/HLQ),Harlequin Air (JH/HLQ),358
"ALM 1997 Airline Inc., d/b/a Air ALM",alm-1997-airline-inc-dba-air-alm-alm,an,LM ,"ALM 1997 Airline Inc., d/b/a Air ALM (LM/ALM)","ALM 1997 Airline Inc., d/b/a Air ALM (LM/ALM)",52
Surinam Airways,surinam-airways-slm,sr,PY ,Surinam Airways (PY/SLM),Surinam Airways (PY/SLM),714
Yamal Airlines,yamal-airlines-llm,ru,YL ,Yamal Airlines (YL/LLM),Yamal Airlines (YL/LLM),478
Libyan Airlines,libyan-airlines-laa,ly,LN ,Libyan Airlines (LN/LAA),Libyan Airlines (LN/LAA),452
Lion Airlines,lion-airlines-lni,id,JT ,Lion Airlines (JT/LNI),Lion Airlines (JT/LNI),480
SA Airlink,sa-airlink-lnk,za,4Z ,SA Airlink (4Z/LNK),SA Airlink (4Z/LNK),984
Jet Time,jet-time-jtg,dk,   ,Jet Time (/JTG),Jet Time (/JTG),1073
