name,url,country,iata,lon,value,label,icao,lat,id
Saint John / Saint John,saint-john-saint-john-cysj,ca,YSJ,-65.89025,Saint John / Saint John (YSJ/CYSJ),Saint John / Saint John (YSJ/CYSJ),CYSJ,45.316189,3436
Sainte-Marie / Sainte Marie,sainte-marie-sainte-marie-fmms,mg,SMS,49.816667,Sainte-Marie / Sainte Marie (SMS/FMMS),Sainte-Marie / Sainte Marie (SMS/FMMS),FMMS,-17.083333,2722
Saipan I / Saipan,saipan-i-saipan-pgsn,um,SPN,145.729356,Saipan I / Saipan (SPN/PGSN),Saipan I / Saipan (SPN/PGSN),PGSN,15.119003,2755
Sakon Nakhon / Sakon Nakhon,sakon-nakhon-sakon-nakhon-vtui,th,SNO,104.118611,Sakon Nakhon / Sakon Nakhon (SNO/VTUI),Sakon Nakhon / Sakon Nakhon (SNO/VTUI),VTUI,17.195278,2731
Sal / Amilcar Cabral,sal-amilcar-cabral-gvac,cv,SID,-22.948889,Sal / Amilcar Cabral (SID/GVAC),Sal / Amilcar Cabral (SID/GVAC),GVAC,16.741944,2667
Salalah / Salalah,salalah-salalah-oosa,om,SLL,54.091297,Salalah / Salalah (SLL/OOSA),Salalah / Salalah (SLL/OOSA),OOSA,17.038719,2710
Salamanca / Matacan,salamanca-matacan-lesa,es,SLM,-5.502022,Salamanca / Matacan (SLM/LESA),Salamanca / Matacan (SLM/LESA),LESA,40.952025,2711
Salekhard / Salekhard,salekhard-salekhard-usdd,ru,SLY,66.61104,Salekhard / Salekhard (SLY/USDD),Salekhard / Salekhard (SLY/USDD),USDD,66.59075,4551
Salerno / Costa d'Amalfi,salerno-costa-d-amafli-liri,it,QSR,14.9125,Salerno / Costa d'Amalfi (QSR/LIRI),Salerno / Costa d'Amalfi (QSR/LIRI),LIRI,40.62,4759
Salina / Salina,salina-salina-ksln,us,SLN,-97.6521,Salina / Salina (SLN/KSLN),Salina / Salina (SLN/KSLN),KSLN,38.79096,4683
Salinas / General Ulpiano Paez,salinas-general-ulpiano-paez-sesa,ec,SNC,-80.985833,Salinas / General Ulpiano Paez (SNC/SESA),Salinas / General Ulpiano Paez (SNC/SESA),SESA,-2.207778,2727
Salisbury / Wicomico Co Regl,salisbury-wicomico-co-regl-ksby,us,SBY,-75.510289,Salisbury / Wicomico Co Regl (SBY/KSBY),Salisbury / Wicomico Co Regl (SBY/KSBY),KSBY,38.340525,2602
Salon / Salon,salon-salon-lfmy,fr,NA0,5.179538,Salon / Salon (NA0/LFMY),Salon / Salon (NA0/LFMY),LFMY,43.627777,3865
Salt Cay / Salt Cay,salt-cay-salt-cay-mbsy,tc,SLX,-71.2,Salt Cay / Salt Cay (SLX/MBSY),Salt Cay / Salt Cay (SLX/MBSY),MBSY,21.333,4280
Salt Lake City / Salt Lake City,salt-lake-city-salt-lake-city-kslc,us,SLC,-111.977772,Salt Lake City / Salt Lake City (SLC/KSLC),Salt Lake City / Salt Lake City (SLC/KSLC),KSLC,40.788389,2706
Salta / Salta,salta-salta-sasa,ar,SLA,-65.487,Salta / Salta (SLA/SASA),Salta / Salta (SLA/SASA),SASA,-24.859611,2705
Saltillo / Plan De Guadalupe,saltillo-plan-de-guadalupe-mmio,mx,SLW,-100.928353,Saltillo / Plan De Guadalupe (SLW/MMIO),Saltillo / Plan De Guadalupe (SLW/MMIO),MMIO,25.549786,2714
Salto / Nueva Hesperides,salto-nueva-hesperides-suso,uy,STY,-57.984167,Salto / Nueva Hesperides (STY/SUSO),Salto / Nueva Hesperides (STY/SUSO),SUSO,-31.434722,2792
Salvador / Salvador,salvador-salvador-sbsv,br,SSA,-38.3225,Salvador / Salvador (SSA/SBSV),Salvador / Salvador (SSA/SBSV),SBSV,-12.908611,2769
Salzburg / Salzburg,salzburg-salzburg-lows,at,SZG,13.003333,Salzburg / Salzburg (SZG/LOWS),Salzburg / Salzburg (SZG/LOWS),LOWS,47.794444,2840
Salzgitter / Schaferstuhl,salzgitter-schaferstuhl-edvj,de,NA0,10.364444,Salzgitter / Schaferstuhl (NA0/EDVJ),Salzgitter / Schaferstuhl (NA0/EDVJ),EDVJ,52.030278,3816
Samana / Arroyo Barril,samana-arroyo-barril-mdab,do,EPS,-69.429722,Samana / Arroyo Barril (EPS/MDAB),Samana / Arroyo Barril (EPS/MDAB),MDAB,19.198611,4785
Samana / El Catey,samana-el-catey-mdcy,do,AZS,-69.742,Samana / El Catey (AZS/MDCY),Samana / El Catey (AZS/MDCY),MDCY,19.267,4618
Samara / Kurumoch,samara-kurumoch-uwww,ru,KUF,50.155,Samara / Kurumoch (KUF/UWWW),Samara / Kurumoch (KUF/UWWW),UWWW,53.501667,1391
Samarinda / Temindung,samarinda-temindung-wrls,in,SRI,117.1571,Samarinda / Temindung (SRI/WRLS),Samarinda / Temindung (SRI/WRLS),WRLS,-0.48453,4484
Samarkand / Samarkand,samarkand-samarkand-utss,uz,SKD,66.985,Samarkand / Samarkand (SKD/UTSS),Samarkand / Samarkand (SKD/UTSS),UTSS,39.7,2693
Sambava / Sambava South,sambava-sambava-south-fmns,mg,SVB,50.174722,Sambava / Sambava South (SVB/FMNS),Sambava / Sambava South (SVB/FMNS),FMNS,-14.278611,2806
Samburu / Samburu,samburu-samburu-hksb,ke,UAS,37.533,Samburu / Samburu (UAS/HKSB),Samburu / Samburu (UAS/HKSB),HKSB,0.533,4245
Samedan / Samedan,samedan-samedan-lszs,ch,SMV,9.883889,Samedan / Samedan (SMV/LSZS),Samedan / Samedan (SMV/LSZS),LSZS,46.534444,2724
Samjiyon / Samjiyon,samjiyon-samjiyon-zkse,kp,YJS,128.410278,Samjiyon / Samjiyon (YJS/ZKSE),Samjiyon / Samjiyon (YJS/ZKSE),ZKSE,41.906944,3703
Samos / Samos,samos-samos-lgsm,gr,SMI,26.912222,Samos / Samos (SMI/LGSM),Samos / Samos (SMI/LGSM),LGSM,37.689167,2719
Samsun / Carsamba,samsun-carsamba-ltfh,tr,SZF,36.555058,Samsun / Carsamba (SZF/LTFH),Samsun / Carsamba (SZF/LTFH),LTFH,41.25738,3660
Samsun / Samair,samsun-samair-ltaq,tr,SSX,36.30518,Samsun / Samair (SSX/LTAQ),Samsun / Samair (SSX/LTAQ),LTAQ,41.278645,4276
San Andres I / Gustavo R. Pinilla,san-andres-i-gustavo-r-pinilla-sksp,co,ADZ,-81.710833,San Andres I / Gustavo R. Pinilla (ADZ/SKSP),San Andres I / Gustavo R. Pinilla (ADZ/SKSP),SKSP,12.583611,48
San Angelo / Mathis Fld,san-angelo-mathis-fld-ksjt,us,SJT,-100.496306,San Angelo / Mathis Fld (SJT/KSJT),San Angelo / Mathis Fld (SJT/KSJT),KSJT,31.35775,2688
San Antonio / Kelly Afb,san-antonio-kelly-afb-kskf,us,SKF,-98.581108,San Antonio / Kelly Afb (SKF/KSKF),San Antonio / Kelly Afb (SKF/KSKF),KSKF,29.384228,2695
San Antonio / San Antonio,san-antonio-san-antonio-ksat,us,SAT,-98.469778,San Antonio / San Antonio (SAT/KSAT),San Antonio / San Antonio (SAT/KSAT),KSAT,29.533694,2592
San Antonio Del Tachira / San Antonio Del Tachira,san-antonio-del-tachira-san-antonio-del-tachira-svsa,ve,SVZ,-72.439742,San Antonio Del Tachira / San Antonio Del Tachira (SVZ/SVSA),San Antonio Del Tachira / San Antonio Del Tachira (SVZ/SVSA),SVSA,7.840831,2826
San Antonio Oeste / San Antonio Oeste,san-antonio-oeste-san-antonio-oeste-savo,ar,OES,-65.0342,San Antonio Oeste / San Antonio Oeste (OES/SAVO),San Antonio Oeste / San Antonio Oeste (OES/SAVO),SAVO,-40.7512,4389
San Borja / San Borja,san-borja-san-borja-slsb,bo,SRJ,-66.7375,San Borja / San Borja (SRJ/SLSB),San Borja / San Borja (SRJ/SLSB),SLSB,-14.859167,2765
San Carlos / San Carlos,san-carlos-san-carlos-ksql,us,SQL,-122.249444,San Carlos / San Carlos (SQL/KSQL),San Carlos / San Carlos (SQL/KSQL),KSQL,37.511944,4794
San Cristobal / San Cristobal,san-cristobal-san-cristobal-sest,ec,SCY,-89.433334,San Cristobal / San Cristobal (SCY/SEST),San Cristobal / San Cristobal (SCY/SEST),SEST,-0.833333,3819
San Diego / Halsey Fld,san-diego-halsey-fld-knzy,us,NZY,-117.215333,San Diego / Halsey Fld (NZY/KNZY),San Diego / Halsey Fld (NZY/KNZY),KNZY,32.699167,2139
San Diego / McClellan-Palomar,san-diego-mcclellan-palomar-kcrq,us,CLD,-117.28,San Diego / McClellan-Palomar (CLD/KCRQ),San Diego / McClellan-Palomar (CLD/KCRQ),KCRQ,33.12825,4519
San Diego / Mitscher Fld,san-diego-mitscher-fld-knkx,us,NKX,-117.14175,San Diego / Mitscher Fld (NKX/KNKX),San Diego / Mitscher Fld (NKX/KNKX),KNKX,32.867694,2069
San Diego / San Diego International,san-diego-san-diego-international-ksan,us,SAN,-117.189667,San Diego / San Diego International (SAN/KSAN),San Diego / San Diego International (SAN/KSAN),KSAN,32.733556,2589
San Egidio / San Egidio,san-egidio-san-egidio-lirz,it,PEG,12.510278,San Egidio / San Egidio (PEG/LIRZ),San Egidio / San Egidio (PEG/LIRZ),LIRZ,43.097222,2290
San Felipe / San Felipe,san-felipe-san-felipe-svsp,ve,SFH,-68.755211,San Felipe / San Felipe (SFH/SVSP),San Felipe / San Felipe (SFH/SVSP),SVSP,10.278728,2640
San Fernando De Apure / San Fernando De Apure,san-fernando-de-apure-san-fernando-de-apure-svsr,ve,SFD,-67.433333,San Fernando De Apure / San Fernando De Apure (SFD/SVSR),San Fernando De Apure / San Fernando De Apure (SFD/SVSR),SVSR,7.883333,2637
